epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,622.532,1.45278,1.66188,1.30472,0.34548,0.36364,0.22992,0.06556,2.92432,3.77434,2.56974,0.0014456,0.0014456,0.0014456
44,637.175,1.40362,1.59593,1.27383,0.37711,0.27273,0.22273,0.06366,2.90388,3.75737,2.85589,0.0014324,0.0014324,0.0014324
45,651.7,1.56848,1.798,1.46212,0.37711,0.27273,0.22273,0.06366,2.90388,3.75737,2.85589,0.0014192,0.0014192,0.0014192
46,666.296,1.30379,1.48983,1.23632,0.5885,0.36364,0.41694,0.09022,2.56837,3.48914,2.61811,0.001406,0.001406,0.001406
47,680.905,1.34246,1.49451,1.20889,0.83263,0.45262,0.51542,0.17025,2.42628,2.84369,2.37805,0.0013928,0.0013928,0.0013928
48,695.443,1.45608,1.54692,1.29223,0.59362,0.27273,0.30937,0.12134,2.13591,3.29668,2.39266,0.0013796,0.0013796,0.0013796
49,709.882,1.56322,1.74447,1.46522,0.59362,0.27273,0.30937,0.12134,2.13591,3.29668,2.39266,0.0013664,0.0013664,0.0013664
50,724.355,1.54142,1.71336,1.35126,0.72008,0.27273,0.37355,0.10271,2.05609,3.1404,2.23187,0.0013532,0.0013532,0.0013532
51,738.848,1.38172,1.59415,1.27988,0.27949,0.36364,0.18278,0.08247,2.272,3.16229,2.71518,0.00134,0.00134,0.00134
52,753.399,1.43878,1.6712,1.3247,0.14918,0.36364,0.11035,0.03082,2.7684,3.78599,3.23731,0.0013268,0.0013268,0.0013268
53,767.915,1.436,1.48203,1.30175,0.14918,0.36364,0.11035,0.03082,2.7684,3.78599,3.23731,0.0013136,0.0013136,0.0013136
54,782.461,1.38134,1.4403,1.25681,0.3626,0.18182,0.11891,0.0294,2.51673,3.7337,2.88433,0.0013004,0.0013004,0.0013004
55,797.158,1.51996,1.7222,1.32877,0.10929,0.36364,0.09897,0.03174,2.23659,3.76933,2.20276,0.0012872,0.0012872,0.0012872
56,812,1.43316,1.54723,1.34989,0.13841,0.27273,0.13062,0.05197,2.11132,3.61015,1.94643,0.001274,0.001274,0.001274
57,826.443,1.45998,1.7038,1.38591,0.13841,0.27273,0.13062,0.05197,2.11132,3.61015,1.94643,0.0012608,0.0012608,0.0012608
58,840.935,1.30806,1.45607,1.18306,0.1248,0.45455,0.09708,0.03255,2.35036,3.4322,2.24881,0.0012476,0.0012476,0.0012476
59,855.392,1.44977,1.52033,1.24902,0.22717,0.72727,0.22942,0.07768,2.48768,3.06499,2.51453,0.0012344,0.0012344,0.0012344
60,869.814,1.29229,1.51138,1.27834,0.36594,0.90909,0.4288,0.16425,2.48108,2.53932,2.58971,0.0012212,0.0012212,0.0012212
61,884.15,1.25378,1.48933,1.23449,0.36594,0.90909,0.4288,0.16425,2.48108,2.53932,2.58971,0.001208,0.001208,0.001208
62,898.349,1.1957,1.29475,1.18474,0.47751,0.63636,0.59899,0.13109,2.44501,2.81979,2.49071,0.0011948,0.0011948,0.0011948
63,912.672,1.35966,1.38204,1.26615,0.48247,0.63636,0.56063,0.15499,2.28473,2.69455,2.30262,0.0011816,0.0011816,0.0011816
64,926.963,1.21092,1.44748,1.29391,0.77238,0.63636,0.71323,0.25281,2.001,2.53984,2.02569,0.0011684,0.0011684,0.0011684
65,941.109,1.15858,1.32639,1.19183,0.77238,0.63636,0.71323,0.25281,2.001,2.53984,2.02569,0.0011552,0.0011552,0.0011552
66,955.755,1.33474,1.33362,1.28499,0.72155,0.72727,0.76508,0.25495,1.92189,2.32707,1.87477,0.001142,0.001142,0.001142
67,970.513,1.2416,1.44896,1.22119,0.67184,0.81818,0.75035,0.24793,2.01691,2.31428,1.91352,0.0011288,0.0011288,0.0011288
68,985.214,1.29499,1.29013,1.17733,0.85964,0.81818,0.88511,0.22044,2.15787,2.25429,1.9181,0.0011156,0.0011156,0.0011156
69,999.868,1.32319,1.22994,1.20222,0.85964,0.81818,0.88511,0.22044,2.15787,2.25429,1.9181,0.0011024,0.0011024,0.0011024
70,1014.51,1.21093,1.27216,1.21943,0.89309,0.76164,0.83582,0.18368,2.25582,2.50787,2.00772,0.0010892,0.0010892,0.0010892
71,1028.91,1.25161,1.30126,1.20524,0.57371,0.63636,0.45244,0.13782,2.55349,2.43259,2.38804,0.001076,0.001076,0.001076
